data,valor,serie
2004-01-01,0.76,ipca
2004-02-01,0.61,ipca
2004-03-01,0.47,ipca
2004-04-01,0.37,ipca
2004-05-01,0.51,ipca
2004-06-01,0.71,ipca
2004-07-01,0.91,ipca
2004-08-01,0.69,ipca
2004-09-01,0.33,ipca
2004-10-01,0.44,ipca
2004-11-01,0.69,ipca
2004-12-01,0.86,ipca
2005-01-01,0.58,ipca
2005-02-01,0.59,ipca
2005-03-01,0.61,ipca
2005-04-01,0.87,ipca
2005-05-01,0.49,ipca
2005-06-01,-0.02,ipca
2005-07-01,0.25,ipca
2005-08-01,0.17,ipca
2005-09-01,0.35,ipca
2005-10-01,0.75,ipca
2005-11-01,0.55,ipca
2005-12-01,0.36,ipca
2006-01-01,0.59,ipca
2006-02-01,0.41,ipca
2006-03-01,0.43,ipca
2006-04-01,0.21,ipca
2006-05-01,0.1,ipca
2006-06-01,-0.21,ipca
2006-07-01,0.19,ipca
2006-08-01,0.05,ipca
2006-09-01,0.21,ipca
2006-10-01,0.33,ipca
2006-11-01,0.31,ipca
2006-12-01,0.48,ipca
2007-01-01,0.44,ipca
2007-02-01,0.44,ipca
2007-03-01,0.37,ipca
2007-04-01,0.25,ipca
2007-05-01,0.28,ipca
2007-06-01,0.28,ipca
2007-07-01,0.24,ipca
2007-08-01,0.47,ipca
2007-09-01,0.18,ipca
2007-10-01,0.3,ipca
2007-11-01,0.38,ipca
2007-12-01,0.74,ipca
2008-01-01,0.54,ipca
2008-02-01,0.49,ipca
2008-03-01,0.48,ipca
2008-04-01,0.55,ipca
2008-05-01,0.79,ipca
2008-06-01,0.74,ipca
2008-07-01,0.53,ipca
2008-08-01,0.28,ipca
2008-09-01,0.26,ipca
2008-10-01,0.45,ipca
2008-11-01,0.36,ipca
2008-12-01,0.28,ipca
2009-01-01,0.48,ipca
2009-02-01,0.55,ipca
2009-03-01,0.2,ipca
2009-04-01,0.48,ipca
2009-05-01,0.47,ipca
2009-06-01,0.36,ipca
2009-07-01,0.24,ipca
2009-08-01,0.15,ipca
2009-09-01,0.24,ipca
2009-10-01,0.28,ipca
2009-11-01,0.41,ipca
2009-12-01,0.37,ipca
2010-01-01,0.75,ipca
2010-02-01,0.78,ipca
2010-03-01,0.52,ipca
2010-04-01,0.57,ipca
2010-05-01,0.43,ipca
2010-06-01,0,ipca
2010-07-01,0.01,ipca
2010-08-01,0.04,ipca
2010-09-01,0.45,ipca
2010-10-01,0.75,ipca
2010-11-01,0.83,ipca
2010-12-01,0.63,ipca
2011-01-01,0.83,ipca
2011-02-01,0.8,ipca
2011-03-01,0.79,ipca
2011-04-01,0.77,ipca
2011-05-01,0.47,ipca
2011-06-01,0.15,ipca
2011-07-01,0.16,ipca
2011-08-01,0.37,ipca
2011-09-01,0.53,ipca
2011-10-01,0.43,ipca
2011-11-01,0.52,ipca
2011-12-01,0.5,ipca
2012-01-01,0.56,ipca
2012-02-01,0.45,ipca
2012-03-01,0.21,ipca
2012-04-01,0.64,ipca
2012-05-01,0.36,ipca
2012-06-01,0.08,ipca
2012-07-01,0.43,ipca
2012-08-01,0.41,ipca
2012-09-01,0.57,ipca
2012-10-01,0.59,ipca
2012-11-01,0.6,ipca
2012-12-01,0.79,ipca
2013-01-01,0.86,ipca
2013-02-01,0.6,ipca
2013-03-01,0.47,ipca
2013-04-01,0.55,ipca
2013-05-01,0.37,ipca
2013-06-01,0.26,ipca
2013-07-01,0.03,ipca
2013-08-01,0.24,ipca
2013-09-01,0.35,ipca
2013-10-01,0.57,ipca
2013-11-01,0.54,ipca
2013-12-01,0.92,ipca
2014-01-01,0.55,ipca
2014-02-01,0.69,ipca
2014-03-01,0.92,ipca
2014-04-01,0.67,ipca
2014-05-01,0.46,ipca
2014-06-01,0.4,ipca
2014-07-01,0.01,ipca
2014-08-01,0.25,ipca
2014-09-01,0.57,ipca
2014-10-01,0.42,ipca
2014-11-01,0.51,ipca
2014-12-01,0.78,ipca
2015-01-01,1.24,ipca
2015-02-01,1.22,ipca
2015-03-01,1.32,ipca
2015-04-01,0.71,ipca
2015-05-01,0.74,ipca
2015-06-01,0.79,ipca
2015-07-01,0.62,ipca
2015-08-01,0.22,ipca
2015-09-01,0.54,ipca
2015-10-01,0.82,ipca
2015-11-01,1.01,ipca
2015-12-01,0.96,ipca
2016-01-01,1.27,ipca
2016-02-01,0.9,ipca
2016-03-01,0.43,ipca
2016-04-01,0.61,ipca
2016-05-01,0.78,ipca
2016-06-01,0.35,ipca
2016-07-01,0.52,ipca
2016-08-01,0.44,ipca
2016-09-01,0.08,ipca
2016-10-01,0.26,ipca
2016-11-01,0.18,ipca
2016-12-01,0.3,ipca
2017-01-01,0.38,ipca
2017-02-01,0.33,ipca
2017-03-01,0.25,ipca
2017-04-01,0.14,ipca
2017-05-01,0.31,ipca
2017-06-01,-0.23,ipca
2017-07-01,0.24,ipca
2017-08-01,0.19,ipca
2017-09-01,0.16,ipca
2017-10-01,0.42,ipca
2017-11-01,0.28,ipca
2017-12-01,0.44,ipca
2018-01-01,0.29,ipca
2018-02-01,0.32,ipca
2018-03-01,0.09,ipca
2018-04-01,0.22,ipca
2018-05-01,0.4,ipca
2018-06-01,1.26,ipca
2018-07-01,0.33,ipca
2018-08-01,-0.09,ipca
2018-09-01,0.48,ipca
2018-10-01,0.45,ipca
2018-11-01,-0.21,ipca
2018-12-01,0.15,ipca
2019-01-01,0.32,ipca
2019-02-01,0.43,ipca
2019-03-01,0.75,ipca
2019-04-01,0.57,ipca
2019-05-01,0.13,ipca
2019-06-01,0.01,ipca
2019-07-01,0.19,ipca
2019-08-01,0.11,ipca
2019-09-01,-0.04,ipca
2019-10-01,0.1,ipca
2019-11-01,0.51,ipca
2019-12-01,1.15,ipca
2020-01-01,0.21,ipca
2020-02-01,0.25,ipca
2020-03-01,0.07,ipca
2020-04-01,-0.31,ipca
2020-05-01,-0.38,ipca
2020-06-01,0.26,ipca
2020-07-01,0.36,ipca
2020-08-01,0.24,ipca
2020-09-01,0.64,ipca
2020-10-01,0.86,ipca
2020-11-01,0.89,ipca
2020-12-01,1.35,ipca
2021-01-01,0.25,ipca
2021-02-01,0.86,ipca
2021-03-01,0.93,ipca
2021-04-01,0.31,ipca
2021-05-01,0.83,ipca
2021-06-01,0.53,ipca
2021-07-01,0.96,ipca
2021-08-01,0.87,ipca
2021-09-01,1.16,ipca
2021-10-01,1.25,ipca
2021-11-01,0.95,ipca
2021-12-01,0.73,ipca
2022-01-01,0.54,ipca
2022-02-01,1.01,ipca
2022-03-01,1.62,ipca
2022-04-01,1.06,ipca
2022-05-01,0.47,ipca
2022-06-01,0.67,ipca
2022-07-01,-0.68,ipca
2022-08-01,-0.36,ipca
2022-09-01,-0.29,ipca
2022-10-01,0.59,ipca
2022-11-01,0.41,ipca
2022-12-01,0.62,ipca
2023-01-01,0.53,ipca
2023-02-01,0.84,ipca
2023-03-01,0.71,ipca
2023-04-01,0.61,ipca
2023-05-01,0.23,ipca
2023-06-01,-0.08,ipca
2023-07-01,0.12,ipca
2023-08-01,0.23,ipca
2023-09-01,0.26,ipca
2023-10-01,0.24,ipca
2023-11-01,0.28,ipca
2023-12-01,0.56,ipca
2024-01-01,0.42,ipca
2024-02-01,0.83,ipca
2024-03-01,0.16,ipca
2024-04-01,0.38,ipca
2024-05-01,0.46,ipca
2024-06-01,0.21,ipca
2024-07-01,0.38,ipca
2024-08-01,-0.02,ipca
2024-09-01,0.44,ipca
2024-10-01,0.56,ipca
2024-11-01,0.39,ipca
2024-12-01,0.52,ipca
2025-01-01,0.16,ipca
2025-02-01,1.31,ipca
2025-03-01,0.56,ipca
2025-04-01,0.43,ipca
2025-05-01,0.26,ipca
2004-01-01,0.73,nucleo
2004-02-01,0.48,nucleo
2004-03-01,0.76,nucleo
2004-04-01,0.57,nucleo
2004-05-01,0.59,nucleo
2004-06-01,0.6,nucleo
2004-07-01,0.55,nucleo
2004-08-01,0.55,nucleo
2004-09-01,0.56,nucleo
2004-10-01,0.6,nucleo
2004-11-01,0.62,nucleo
2004-12-01,0.67,nucleo
2005-01-01,0.66,nucleo
2005-02-01,0.6,nucleo
2005-03-01,0.62,nucleo
2005-04-01,0.7,nucleo
2005-05-01,0.65,nucleo
2005-06-01,0.49,nucleo
2005-07-01,0.45,nucleo
2005-08-01,0.36,nucleo
2005-09-01,0.51,nucleo
2005-10-01,0.58,nucleo
2005-11-01,0.51,nucleo
2005-12-01,0.43,nucleo
2006-01-01,0.61,nucleo
2006-02-01,0.49,nucleo
2006-03-01,0.45,nucleo
2006-04-01,0.41,nucleo
2006-05-01,0.47,nucleo
2006-06-01,0.3,nucleo
2006-07-01,0.29,nucleo
2006-08-01,0.23,nucleo
2006-09-01,0.32,nucleo
2006-10-01,0.32,nucleo
2006-11-01,0.27,nucleo
2006-12-01,0.38,nucleo
2007-01-01,0.39,nucleo
2007-02-01,0.24,nucleo
2007-03-01,0.29,nucleo
2007-04-01,0.29,nucleo
2007-05-01,0.3,nucleo
2007-06-01,0.34,nucleo
2007-07-01,0.2,nucleo
2007-08-01,0.4,nucleo
2007-09-01,0.34,nucleo
2007-10-01,0.43,nucleo
2007-11-01,0.36,nucleo
2007-12-01,0.4,nucleo
2008-01-01,0.37,nucleo
2008-02-01,0.27,nucleo
2008-03-01,0.39,nucleo
2008-04-01,0.48,nucleo
2008-05-01,0.5,nucleo
2008-06-01,0.49,nucleo
2008-07-01,0.36,nucleo
2008-08-01,0.36,nucleo
2008-09-01,0.45,nucleo
2008-10-01,0.37,nucleo
2008-11-01,0.35,nucleo
2008-12-01,0.33,nucleo
2009-01-01,0.42,nucleo
2009-02-01,0.29,nucleo
2009-03-01,0.35,nucleo
2009-04-01,0.35,nucleo
2009-05-01,0.44,nucleo
2009-06-01,0.38,nucleo
2009-07-01,0.3,nucleo
2009-08-01,0.25,nucleo
2009-09-01,0.39,nucleo
2009-10-01,0.31,nucleo
2009-11-01,0.39,nucleo
2009-12-01,0.42,nucleo
2010-01-01,0.48,nucleo
2010-02-01,0.39,nucleo
2010-03-01,0.46,nucleo
2010-04-01,0.5,nucleo
2010-05-01,0.62,nucleo
2010-06-01,0.4,nucleo
2010-07-01,0.24,nucleo
2010-08-01,0.33,nucleo
2010-09-01,0.43,nucleo
2010-10-01,0.55,nucleo
2010-11-01,0.56,nucleo
2010-12-01,0.52,nucleo
2011-01-01,0.54,nucleo
2011-02-01,0.4,nucleo
2011-03-01,0.49,nucleo
2011-04-01,0.6,nucleo
2011-05-01,0.64,nucleo
2011-06-01,0.54,nucleo
2011-07-01,0.41,nucleo
2011-08-01,0.55,nucleo
2011-09-01,0.58,nucleo
2011-10-01,0.59,nucleo
2011-11-01,0.55,nucleo
2011-12-01,0.58,nucleo
2012-01-01,0.47,nucleo
2012-02-01,0.41,nucleo
2012-03-01,0.28,nucleo
2012-04-01,0.51,nucleo
2012-05-01,0.45,nucleo
2012-06-01,0.39,nucleo
2012-07-01,0.4,nucleo
2012-08-01,0.5,nucleo
2012-09-01,0.49,nucleo
2012-10-01,0.54,nucleo
2012-11-01,0.49,nucleo
2012-12-01,0.56,nucleo
2013-01-01,0.73,nucleo
2013-02-01,0.53,nucleo
2013-03-01,0.47,nucleo
2013-04-01,0.53,nucleo
2013-05-01,0.52,nucleo
2013-06-01,0.36,nucleo
2013-07-01,0.29,nucleo
2013-08-01,0.42,nucleo
2013-09-01,0.43,nucleo
2013-10-01,0.58,nucleo
2013-11-01,0.45,nucleo
2013-12-01,0.58,nucleo
2014-01-01,0.55,nucleo
2014-02-01,0.51,nucleo
2014-03-01,0.59,nucleo
2014-04-01,0.56,nucleo
2014-05-01,0.64,nucleo
2014-06-01,0.56,nucleo
2014-07-01,0.35,nucleo
2014-08-01,0.4,nucleo
2014-09-01,0.54,nucleo
2014-10-01,0.51,nucleo
2014-11-01,0.38,nucleo
2014-12-01,0.49,nucleo
2015-01-01,0.74,nucleo
2015-02-01,0.77,nucleo
2015-03-01,0.76,nucleo
2015-04-01,0.72,nucleo
2015-05-01,0.75,nucleo
2015-06-01,0.72,nucleo
2015-07-01,0.67,nucleo
2015-08-01,0.56,nucleo
2015-09-01,0.64,nucleo
2015-10-01,0.66,nucleo
2015-11-01,0.75,nucleo
2015-12-01,0.79,nucleo
2016-01-01,0.84,nucleo
2016-02-01,0.73,nucleo
2016-03-01,0.61,nucleo
2016-04-01,0.67,nucleo
2016-05-01,0.73,nucleo
2016-06-01,0.59,nucleo
2016-07-01,0.51,nucleo
2016-08-01,0.55,nucleo
2016-09-01,0.34,nucleo
2016-10-01,0.4,nucleo
2016-11-01,0.39,nucleo
2016-12-01,0.37,nucleo
2017-01-01,0.38,nucleo
2017-02-01,0.26,nucleo
2017-03-01,0.28,nucleo
2017-04-01,0.34,nucleo
2017-05-01,0.23,nucleo
2017-06-01,0.28,nucleo
2017-07-01,0.15,nucleo
2017-08-01,0.26,nucleo
2017-09-01,0.24,nucleo
2017-10-01,0.34,nucleo
2017-11-01,0.2,nucleo
2017-12-01,0.46,nucleo
2018-01-01,0.28,nucleo
2018-02-01,0.25,nucleo
2018-03-01,0.26,nucleo
2018-04-01,0.21,nucleo
2018-05-01,0.22,nucleo
2018-06-01,0.42,nucleo
2018-07-01,0.36,nucleo
2018-08-01,0.31,nucleo
2018-09-01,0.28,nucleo
2018-10-01,0.26,nucleo
2018-11-01,0.34,nucleo
2018-12-01,0.38,nucleo
2019-01-01,0.47,nucleo
2019-02-01,0.2,nucleo
2019-03-01,0.33,nucleo
2019-04-01,0.37,nucleo
2019-05-01,0.29,nucleo
2019-06-01,0.2,nucleo
2019-07-01,0.18,nucleo
2019-08-01,0.23,nucleo
2019-09-01,0.13,nucleo
2019-10-01,0.18,nucleo
2019-11-01,0.2,nucleo
2019-12-01,0.39,nucleo
2020-01-01,0.39,nucleo
2020-02-01,0.25,nucleo
2020-03-01,0.25,nucleo
2020-04-01,0.1,nucleo
2020-05-01,0.02,nucleo
2020-06-01,0.14,nucleo
2020-07-01,0.11,nucleo
2020-08-01,0.13,nucleo
2020-09-01,0.19,nucleo
2020-10-01,0.34,nucleo
2020-11-01,0.34,nucleo
2020-12-01,0.39,nucleo
2021-01-01,0.4,nucleo
2021-02-01,0.38,nucleo
2021-03-01,0.35,nucleo
2021-04-01,0.4,nucleo
2021-05-01,0.57,nucleo
2021-06-01,0.58,nucleo
2021-07-01,0.58,nucleo
2021-08-01,0.68,nucleo
2021-09-01,0.63,nucleo
2021-10-01,0.84,nucleo
2021-11-01,0.72,nucleo
2021-12-01,0.89,nucleo
2022-01-01,1.06,nucleo
2022-02-01,0.94,nucleo
2022-03-01,1.04,nucleo
2022-04-01,1.01,nucleo
2022-05-01,0.98,nucleo
2022-06-01,0.97,nucleo
2022-07-01,0.62,nucleo
2022-08-01,0.64,nucleo
2022-09-01,0.39,nucleo
2022-10-01,0.46,nucleo
2022-11-01,0.38,nucleo
2022-12-01,0.49,nucleo
2023-01-01,0.49,nucleo
2023-02-01,0.48,nucleo
2023-03-01,0.36,nucleo
2023-04-01,0.5,nucleo
2023-05-01,0.49,nucleo
2023-06-01,0.11,nucleo
2023-07-01,0.22,nucleo
2023-08-01,0.33,nucleo
2023-09-01,0.3,nucleo
2023-10-01,0.31,nucleo
2023-11-01,0.37,nucleo
2023-12-01,0.47,nucleo
2024-01-01,0.51,nucleo
2024-02-01,0.42,nucleo
2024-03-01,0.24,nucleo
2024-04-01,0.3,nucleo
2024-05-01,0.4,nucleo
2024-06-01,0.28,nucleo
2024-07-01,0.39,nucleo
2024-08-01,0.3,nucleo
2024-09-01,0.33,nucleo
2024-10-01,0.45,nucleo
2024-11-01,0.35,nucleo
2024-12-01,0.45,nucleo
2025-01-01,0.62,nucleo
2025-02-01,0.43,nucleo
2025-03-01,0.47,nucleo
2025-04-01,0.49,nucleo
2025-05-01,0.38,nucleo
2004-01-01,0.88,igpm
2004-02-01,0.69,igpm
2004-03-01,1.13,igpm
2004-04-01,1.21,igpm
2004-05-01,1.31,igpm
2004-06-01,1.38,igpm
2004-07-01,1.31,igpm
2004-08-01,1.22,igpm
2004-09-01,0.69,igpm
2004-10-01,0.39,igpm
2004-11-01,0.82,igpm
2004-12-01,0.74,igpm
2005-01-01,0.39,igpm
2005-02-01,0.3,igpm
2005-03-01,0.85,igpm
2005-04-01,0.86,igpm
2005-05-01,-0.22,igpm
2005-06-01,-0.44,igpm
2005-07-01,-0.34,igpm
2005-08-01,-0.65,igpm
2005-09-01,-0.53,igpm
2005-10-01,0.6,igpm
2005-11-01,0.4,igpm
2005-12-01,-0.01,igpm
2006-01-01,0.92,igpm
2006-02-01,0.01,igpm
2006-03-01,-0.23,igpm
2006-04-01,-0.42,igpm
2006-05-01,0.38,igpm
2006-06-01,0.75,igpm
2006-07-01,0.18,igpm
2006-08-01,0.37,igpm
2006-09-01,0.29,igpm
2006-10-01,0.47,igpm
2006-11-01,0.75,igpm
2006-12-01,0.32,igpm
2007-01-01,0.5,igpm
2007-02-01,0.27,igpm
2007-03-01,0.34,igpm
2007-04-01,0.04,igpm
2007-05-01,0.04,igpm
2007-06-01,0.26,igpm
2007-07-01,0.28,igpm
2007-08-01,0.98,igpm
2007-09-01,1.29,igpm
2007-10-01,1.05,igpm
2007-11-01,0.69,igpm
2007-12-01,1.76,igpm
2008-01-01,1.09,igpm
2008-02-01,0.53,igpm
2008-03-01,0.74,igpm
2008-04-01,0.69,igpm
2008-05-01,1.61,igpm
2008-06-01,1.98,igpm
2008-07-01,1.76,igpm
2008-08-01,-0.32,igpm
2008-09-01,0.11,igpm
2008-10-01,0.98,igpm
2008-11-01,0.38,igpm
2008-12-01,-0.13,igpm
2009-01-01,-0.44,igpm
2009-02-01,0.26,igpm
2009-03-01,-0.74,igpm
2009-04-01,-0.15,igpm
2009-05-01,-0.07,igpm
2009-06-01,-0.1,igpm
2009-07-01,-0.43,igpm
2009-08-01,-0.36,igpm
2009-09-01,0.42,igpm
2009-10-01,0.05,igpm
2009-11-01,0.1,igpm
2009-12-01,-0.26,igpm
2010-01-01,0.63,igpm
2010-02-01,1.18,igpm
2010-03-01,0.94,igpm
2010-04-01,0.77,igpm
2010-05-01,1.19,igpm
2010-06-01,0.85,igpm
2010-07-01,0.15,igpm
2010-08-01,0.77,igpm
2010-09-01,1.15,igpm
2010-10-01,1.01,igpm
2010-11-01,1.45,igpm
2010-12-01,0.69,igpm
2011-01-01,0.79,igpm
2011-02-01,1,igpm
2011-03-01,0.62,igpm
2011-04-01,0.45,igpm
2011-05-01,0.43,igpm
2011-06-01,-0.18,igpm
2011-07-01,-0.12,igpm
2011-08-01,0.44,igpm
2011-09-01,0.65,igpm
2011-10-01,0.53,igpm
2011-11-01,0.5,igpm
2011-12-01,-0.12,igpm
2012-01-01,0.25,igpm
2012-02-01,-0.06,igpm
2012-03-01,0.43,igpm
2012-04-01,0.85,igpm
2012-05-01,1.02,igpm
2012-06-01,0.66,igpm
2012-07-01,1.34,igpm
2012-08-01,1.43,igpm
2012-09-01,0.97,igpm
2012-10-01,0.02,igpm
2012-11-01,-0.03,igpm
2012-12-01,0.68,igpm
2013-01-01,0.34,igpm
2013-02-01,0.29,igpm
2013-03-01,0.21,igpm
2013-04-01,0.15,igpm
2013-05-01,0,igpm
2013-06-01,0.75,igpm
2013-07-01,0.26,igpm
2013-08-01,0.15,igpm
2013-09-01,1.5,igpm
2013-10-01,0.86,igpm
2013-11-01,0.29,igpm
2013-12-01,0.6,igpm
2014-01-01,0.48,igpm
2014-02-01,0.38,igpm
2014-03-01,1.67,igpm
2014-04-01,0.78,igpm
2014-05-01,-0.13,igpm
2014-06-01,-0.74,igpm
2014-07-01,-0.61,igpm
2014-08-01,-0.27,igpm
2014-09-01,0.2,igpm
2014-10-01,0.28,igpm
2014-11-01,0.98,igpm
2014-12-01,0.62,igpm
2015-01-01,0.76,igpm
2015-02-01,0.27,igpm
2015-03-01,0.98,igpm
2015-04-01,1.17,igpm
2015-05-01,0.41,igpm
2015-06-01,0.67,igpm
2015-07-01,0.69,igpm
2015-08-01,0.28,igpm
2015-09-01,0.95,igpm
2015-10-01,1.89,igpm
2015-11-01,1.52,igpm
2015-12-01,0.49,igpm
2016-01-01,1.14,igpm
2016-02-01,1.29,igpm
2016-03-01,0.51,igpm
2016-04-01,0.33,igpm
2016-05-01,0.82,igpm
2016-06-01,1.69,igpm
2016-07-01,0.18,igpm
2016-08-01,0.15,igpm
2016-09-01,0.2,igpm
2016-10-01,0.16,igpm
2016-11-01,-0.03,igpm
2016-12-01,0.54,igpm
2017-01-01,0.64,igpm
2017-02-01,0.08,igpm
2017-03-01,0.01,igpm
2017-04-01,-1.1,igpm
2017-05-01,-0.93,igpm
2017-06-01,-0.67,igpm
2017-07-01,-0.72,igpm
2017-08-01,0.1,igpm
2017-09-01,0.47,igpm
2017-10-01,0.2,igpm
2017-11-01,0.52,igpm
2017-12-01,0.89,igpm
2018-01-01,0.76,igpm
2018-02-01,0.07,igpm
2018-03-01,0.64,igpm
2018-04-01,0.57,igpm
2018-05-01,1.38,igpm
2018-06-01,1.87,igpm
2018-07-01,0.51,igpm
2018-08-01,0.7,igpm
2018-09-01,1.52,igpm
2018-10-01,0.89,igpm
2018-11-01,-0.49,igpm
2018-12-01,-1.08,igpm
2019-01-01,0.01,igpm
2019-02-01,0.88,igpm
2019-03-01,1.26,igpm
2019-04-01,0.92,igpm
2019-05-01,0.45,igpm
2019-06-01,0.8,igpm
2019-07-01,0.4,igpm
2019-08-01,-0.67,igpm
2019-09-01,-0.01,igpm
2019-10-01,0.68,igpm
2019-11-01,0.3,igpm
2019-12-01,2.09,igpm
2020-01-01,0.48,igpm
2020-02-01,-0.04,igpm
2020-03-01,1.24,igpm
2020-04-01,0.8,igpm
2020-05-01,0.28,igpm
2020-06-01,1.56,igpm
2020-07-01,2.23,igpm
2020-08-01,2.74,igpm
2020-09-01,4.34,igpm
2020-10-01,3.23,igpm
2020-11-01,3.28,igpm
2020-12-01,0.96,igpm
2021-01-01,2.58,igpm
2021-02-01,2.53,igpm
2021-03-01,2.94,igpm
2021-04-01,1.51,igpm
2021-05-01,4.1,igpm
2021-06-01,0.6,igpm
2021-07-01,0.78,igpm
2021-08-01,0.66,igpm
2021-09-01,-0.64,igpm
2021-10-01,0.64,igpm
2021-11-01,0.02,igpm
2021-12-01,0.87,igpm
2022-01-01,1.82,igpm
2022-02-01,1.83,igpm
2022-03-01,1.74,igpm
2022-04-01,1.41,igpm
2022-05-01,0.52,igpm
2022-06-01,0.59,igpm
2022-07-01,0.21,igpm
2022-08-01,-0.7,igpm
2022-09-01,-0.95,igpm
2022-10-01,-0.97,igpm
2022-11-01,-0.56,igpm
2022-12-01,0.45,igpm
2023-01-01,0.21,igpm
2023-02-01,-0.06,igpm
2023-03-01,0.05,igpm
2023-04-01,-0.95,igpm
2023-05-01,-1.84,igpm
2023-06-01,-1.93,igpm
2023-07-01,-0.72,igpm
2023-08-01,-0.14,igpm
2023-09-01,0.37,igpm
2023-10-01,0.5,igpm
2023-11-01,0.59,igpm
2023-12-01,0.74,igpm
2024-01-01,0.07,igpm
2024-02-01,-0.52,igpm
2024-03-01,-0.47,igpm
2024-04-01,0.31,igpm
2024-05-01,0.89,igpm
2024-06-01,0.81,igpm
2024-07-01,0.61,igpm
2024-08-01,0.29,igpm
2024-09-01,0.62,igpm
2024-10-01,1.52,igpm
2024-11-01,1.3,igpm
2024-12-01,0.94,igpm
2025-01-01,0.27,igpm
2025-02-01,1.06,igpm
2025-03-01,-0.34,igpm
2025-04-01,0.24,igpm
2025-05-01,-0.49,igpm
